,MonthsActive,AvgOrderValue,NumOrdersLastQuarter,DaysSinceLastOrder,SupportTicketsFiled,Churned
243,43,50.83,4,1,0,0
244,36,96.56,3,33,0,1
245,17,54.89,4,79,1,0
246,17,93.73,5,16,0,0
247,52,47.94,2,57,2,0
248,15,43.74,4,34,0,1
249,18,82.33,7,15,2,0
250,52,86.19,4,1,0,0
251,46,75.67,6,7,0,0
252,8,93.12,6,6,2,0
253,47,26.11,7,1,0,0
254,8,44.13,3,13,0,0
255,3,45.28,5,16,1,0
256,40,38.06,7,1,1,0
257,27,56.29,6,55,0,0
258,1,50.22,9,65,0,0
259,53,49.66,7,12,0,0
260,34,45.97,3,2,0,0
261,55,58.71,2,4,0,0
262,7,41.86,6,36,0,1
263,14,55.34,2,10,2,0
264,57,79.85,7,6,1,0
265,36,70.39,4,49,0,0
266,10,62.57,6,8,2,0
267,10,116.56,3,4,0,0
268,29,26.7,4,14,1,0
269,48,59.51,1,17,0,0
270,28,30.93,6,44,0,0
271,7,61.07,6,4,0,0
272,17,75.14,3,37,1,0
273,54,58.18,2,72,0,1
274,47,28.98,3,5,3,0
275,46,101.03,5,15,1,0
276,22,29.85,6,44,0,0
277,29,40.42,4,11,0,0
278,18,87.67,3,3,0,0
279,34,60.25,9,7,0,0
280,15,22.63,5,25,0,0
281,31,56.39,4,38,0,0
282,33,61.94,7,27,0,0
283,12,80.51,5,0,0,0
284,23,84.79,6,8,0,0
285,26,70.96,5,13,0,0
286,51,57.22,7,12,0,0
287,33,44.17,2,0,0,0
288,17,70.76,4,1,0,0
289,7,54.35,5,51,2,1
290,16,85.66,7,19,1,0
291,3,77.65,11,42,0,0
292,42,27.62,10,12,1,0
293,12,158.36,4,6,0,0
294,31,56.02,6,1,1,0
295,54,69.94,8,32,1,0
296,25,28.42,3,26,1,0
297,16,55.33,2,52,2,1
298,17,41.79,8,2,1,0
299,39,84.9,4,3,0,0
300,46,45.74,4,14,0,0
301,52,53.99,8,10,3,0
302,34,22.33,4,32,0,0
303,13,47.47,2,16,1,0
304,26,153.68,3,2,1,0
305,45,70.26,4,9,2,0
306,17,47.45,7,1,0,0
307,36,78.85,7,20,0,0
308,39,43.27,4,28,0,0
309,55,58.14,4,0,1,0
310,25,76.19,7,48,1,0
311,24,76.48,5,13,1,0
312,49,180.02,3,54,0,0
313,4,28.86,8,4,0,0
314,53,56.26,8,64,0,0
315,55,75.8,7,84,1,1
316,13,76.67,5,13,1,0
317,56,83.14,4,12,0,0
318,29,39.26,5,17,0,0
319,16,43.34,6,33,1,0
320,45,83.28,2,23,0,0
321,26,94.95,4,4,0,0
322,7,33.79,2,10,0,0
323,28,25.88,8,4,0,0
324,36,69.11,4,6,0,0
325,4,63.36,3,40,0,0
326,9,47.61,5,29,0,1
327,26,89.2,8,14,1,0
328,21,73.03,5,15,1,0
329,10,103.21,1,39,1,0
330,57,50.27,5,22,0,0
331,25,81.91,7,127,0,1
332,56,49.59,3,24,1,0
333,27,134.58,8,15,0,0
334,6,94.74,4,3,1,0
335,26,26.65,4,13,0,0
336,26,44.34,6,31,1,0
337,37,52.04,6,20,0,0
338,22,43.05,4,20,1,0
339,44,52.32,2,5,0,0
340,33,50.12,9,13,0,0
341,23,22.41,4,36,1,0
342,45,52.74,4,16,0,1
343,47,59.81,3,22,0,0
344,11,31.92,7,0,1,0
345,51,53.73,5,35,0,0
346,57,69.11,4,13,0,0
347,20,48.21,4,29,0,0
348,51,71.14,1,9,0,1
349,11,68.59,7,33,2,0
350,41,22.99,5,25,2,0
351,28,40.82,3,1,0,0
352,15,77.07,6,31,0,0
353,22,47.34,3,21,0,0
354,14,96.98,4,29,1,0
355,17,28.33,3,10,0,0
356,5,33.77,5,27,0,0
357,49,96.78,5,4,2,0
358,13,75.05,6,64,0,0
359,57,44.78,6,2,0,0
360,56,43.76,4,0,0,0
361,28,114.66,5,31,1,0
362,17,48.67,4,2,1,0
363,5,28.79,5,17,0,0
364,29,102.28,4,46,1,0
365,26,25.69,5,23,0,0
366,7,40.28,10,23,0,1
367,20,29.06,3,8,1,0
368,46,115.05,8,46,1,0
369,35,49.73,4,7,0,0
370,54,27.54,6,26,0,0
371,15,77.71,6,36,0,0
372,58,77.52,6,1,1,0
373,42,34.28,3,31,2,0
374,18,112.97,4,14,0,0
375,58,25.99,4,24,0,0
376,16,67.21,3,2,0,0
377,13,102.94,7,13,2,0
378,48,118.28,7,8,0,0
379,26,80.13,5,2,0,0
380,51,40.0,5,7,0,0
381,45,64.41,4,17,1,1
382,13,37.58,4,15,1,0
383,17,91.31,4,2,2,0
384,53,76.28,7,43,0,0
385,43,104.05,7,2,0,0
386,59,60.29,3,0,0,0
387,33,48.31,3,7,0,0
388,45,97.94,7,37,0,0
389,36,39.16,2,32,0,1
390,58,71.58,3,41,0,1
391,21,55.84,4,11,0,0
392,56,85.68,5,15,0,0
393,10,58.1,7,16,0,0
394,32,66.43,2,18,0,0
395,35,31.91,11,7,0,0
396,25,41.61,2,49,1,1
397,30,47.75,9,1,0,0
398,42,72.91,5,3,0,0
399,22,49.18,6,13,0,0
400,10,48.86,4,30,0,0
401,54,102.87,6,5,0,0
402,19,68.18,5,23,0,0
403,48,47.89,5,5,0,0
404,35,69.8,7,8,1,0
405,7,39.8,5,53,0,0
406,14,83.54,7,6,1,0
407,46,59.16,4,28,0,1
408,12,76.69,7,22,0,0
409,44,33.04,4,21,0,0
410,14,49.67,7,65,1,1
411,46,28.6,6,1,0,0
412,35,33.63,7,0,0,0
413,49,30.75,4,6,1,0
414,38,99.72,4,23,0,0
415,5,98.35,8,6,0,0
416,47,38.57,5,4,0,0
417,60,71.62,4,75,0,0
418,25,49.49,7,21,1,0
419,55,92.57,1,34,0,0
420,24,118.49,6,14,0,0
421,14,35.7,4,14,0,0
422,52,41.21,8,9,0,0
423,19,29.01,1,28,1,0
424,13,85.45,3,9,0,0
425,19,59.59,4,5,0,0
426,34,34.98,6,6,0,0
427,40,95.65,2,38,2,1
428,52,35.92,5,6,0,0
429,42,37.73,9,4,1,0
430,46,64.33,9,2,0,0
431,5,28.1,7,10,0,0
432,8,40.49,4,5,1,0
433,14,75.59,4,8,1,0
434,42,28.42,3,21,0,0
435,43,65.57,5,3,0,0
436,43,106.07,6,11,0,0
437,23,65.05,7,1,1,0
438,2,62.55,4,15,0,0
439,26,68.88,11,1,1,0
440,56,47.83,3,5,1,0
441,32,59.96,2,21,1,0
442,41,72.56,8,10,1,0
443,1,57.4,6,39,0,0
444,49,79.8,2,5,1,0
445,26,62.47,7,2,2,0
446,6,34.92,9,36,2,1
447,50,42.47,4,12,1,0
448,53,42.46,9,10,2,0
449,42,46.06,5,27,1,0
450,27,54.15,3,41,0,0
451,33,26.0,7,30,2,0
452,1,86.56,4,59,1,1
453,14,64.98,4,4,0,1
454,24,52.45,7,9,0,0
455,53,67.44,1,12,0,0
456,44,48.09,8,36,1,0
457,16,65.18,11,14,0,0
458,39,65.97,7,40,0,0
459,52,52.42,10,19,0,0
460,40,49.48,3,30,1,1
461,2,74.41,5,2,1,0
462,55,77.34,7,0,0,0
463,26,65.81,4,61,0,0
464,13,62.57,5,20,0,0
465,14,95.27,4,24,0,0
466,12,64.11,5,30,2,0
467,21,34.02,4,15,0,0
468,56,44.31,8,23,0,0
469,14,73.89,1,4,1,0
470,30,42.99,5,24,3,0
471,7,95.11,3,5,1,0
472,19,83.32,5,8,0,0
473,22,38.9,3,3,2,0
474,34,31.45,9,25,0,0
475,53,60.39,4,2,1,0
476,42,24.96,4,2,0,0
477,55,50.46,5,5,0,0
478,39,101.71,3,30,0,0
479,23,31.65,5,2,0,0
480,58,28.07,7,8,0,0
481,40,57.45,5,74,0,0
482,36,40.25,6,9,0,0
483,29,43.91,6,2,1,0
484,60,98.87,6,21,2,0
485,11,52.29,3,5,0,0
486,49,63.26,9,42,0,0
487,15,89.04,5,2,3,0
488,57,38.01,3,19,0,0
489,53,44.73,5,1,0,0
490,12,93.26,10,5,1,0
491,17,56.34,6,17,0,0
492,43,91.89,5,34,1,0
493,38,42.52,6,1,0,0
494,52,47.61,2,8,0,0
495,16,87.1,2,29,1,1
496,20,135.51,7,16,0,0
497,55,32.41,5,23,1,0
498,51,112.87,9,56,1,1
499,49,54.77,8,6,0,0
500,44,85.81,3,3,0,0
501,51,50.78,7,7,0,0
502,25,65.55,6,13,0,0
503,45,109.76,5,17,0,0
504,27,133.82,5,1,0,0
505,43,65.17,6,3,0,0
506,48,41.96,7,4,0,0
507,7,54.21,6,54,1,1
508,21,16.62,6,10,1,0
509,10,112.76,5,75,0,0
510,39,70.31,3,0,1,0
511,5,49.49,7,16,0,0
512,6,50.56,8,5,2,0
513,56,38.09,8,17,0,0
514,60,86.12,2,34,0,0
515,20,50.94,5,32,1,0
516,25,67.38,2,65,0,0
517,48,44.92,5,16,0,0
518,34,45.67,2,3,1,0
519,60,66.2,5,94,1,0
520,15,68.51,5,10,0,0
521,14,60.54,5,27,0,0
522,58,43.87,7,50,2,0
523,35,29.72,5,46,0,0
524,5,58.42,2,33,1,0
525,6,46.02,5,48,1,0
526,39,41.47,9,102,1,1
527,18,149.94,10,6,0,1
528,42,51.98,4,42,1,0
529,24,30.46,2,20,2,0
530,43,51.22,5,4,1,0
531,31,45.93,5,28,0,0
532,31,49.48,5,3,0,1
533,19,70.64,7,10,0,0
534,39,29.05,5,24,1,0
535,32,70.66,9,3,0,0
536,49,69.53,5,17,1,0
537,15,39.99,3,3,1,0
538,20,34.17,7,12,0,0
539,37,79.62,4,8,0,0
540,7,52.53,13,19,1,0
541,59,58.8,4,19,0,0
542,47,56.82,8,3,1,0
543,29,102.87,5,11,1,0
544,37,34.59,9,10,1,0
545,33,80.89,4,6,0,0
546,30,54.05,4,7,0,1
547,32,28.27,4,18,0,0
548,15,47.72,3,85,1,0
549,18,82.14,7,4,0,0
550,9,75.67,6,11,0,0
551,38,44.02,4,27,0,0
552,42,59.2,4,3,0,0
553,13,68.63,4,66,0,1
554,34,43.64,6,53,1,0
555,35,69.35,5,1,0,0
556,6,98.19,10,0,0,0
557,56,43.14,3,40,0,0
558,44,46.8,6,7,0,0
559,18,72.09,5,26,2,0
560,58,74.92,3,26,0,0
561,14,72.16,4,2,1,0
562,2,74.34,3,1,0,0
563,54,50.08,9,17,1,0
564,58,63.74,4,2,0,0
565,2,24.56,8,7,0,0
566,23,57.96,5,15,0,0
567,34,96.63,2,8,0,0
568,18,46.73,4,2,0,0
569,16,64.38,7,50,0,0
570,11,43.72,4,27,1,0
571,60,86.52,7,6,0,0
572,9,111.84,2,32,0,0
573,38,49.25,3,60,1,1
574,46,40.98,5,36,0,0
575,60,48.52,3,7,0,0
576,58,67.56,7,2,1,0
577,9,35.54,5,17,2,0
578,45,38.25,6,27,0,0
579,47,32.37,8,67,1,0
580,24,47.83,6,51,1,0
581,27,89.13,2,7,1,0
582,20,79.26,6,33,0,0
583,8,53.3,5,7,0,0
584,17,56.93,5,42,1,0
585,25,67.83,6,15,0,0
586,41,42.89,4,40,0,1
587,30,45.11,3,14,1,0
588,17,21.29,5,21,0,0
589,23,43.55,3,12,2,1
590,45,85.02,11,19,0,0
591,33,41.73,6,12,1,0
592,60,52.41,4,21,1,0
593,17,72.04,6,4,0,0
594,58,61.84,2,40,0,0
595,12,60.57,6,38,1,0
596,55,22.84,7,24,0,0
597,14,134.51,7,0,1,0
598,45,104.47,4,24,0,0
599,43,42.3,3,21,0,0
600,45,39.33,8,20,0,0
601,23,47.36,3,51,1,0
602,60,59.98,4,22,0,0
603,25,110.51,8,32,1,0
604,28,63.67,4,25,0,0
605,21,66.21,2,15,0,0
606,46,68.87,3,0,0,0
607,6,46.98,5,8,0,0
608,24,95.75,3,38,0,0
609,58,81.22,6,7,1,0
610,43,98.66,4,6,1,0
611,20,51.07,3,31,1,1
612,15,51.39,4,17,0,0
613,45,32.77,7,17,1,1
614,20,93.02,6,2,0,0
615,26,71.13,8,29,0,0
616,29,75.46,5,4,0,0
617,53,47.12,6,29,1,0
618,9,47.67,4,25,0,0
619,28,41.21,5,14,0,0
620,50,75.6,9,9,0,0
621,54,47.68,3,6,0,0
622,43,42.99,6,21,0,0
623,27,47.06,8,15,1,0
624,21,79.24,7,19,0,0
625,16,35.19,4,30,1,0
626,54,50.08,6,54,0,0
627,10,40.33,8,7,0,0
628,14,59.37,6,33,0,0
629,29,28.07,5,10,0,0
630,25,54.9,4,5,1,0
631,33,39.41,5,111,0,1
632,2,71.74,2,14,2,0
633,48,59.09,5,16,0,0
634,9,32.73,5,39,0,0
635,41,64.71,5,18,2,0
636,45,31.75,2,2,2,0
637,26,60.59,4,9,2,0
638,7,39.42,5,2,0,0
639,59,59.28,6,21,0,0
640,23,47.23,1,26,0,0
641,50,33.34,5,58,1,1
642,24,94.98,5,3,0,0
643,50,65.3,4,57,0,0
644,14,52.68,7,13,0,0
645,1,46.18,4,27,1,0
646,7,55.14,6,15,0,0
647,12,49.64,5,15,0,0
648,25,84.22,4,11,0,0
649,25,209.5,10,7,0,0
650,33,60.06,5,16,1,0
651,47,46.2,5,10,2,0
652,17,51.87,3,2,1,0
653,59,86.21,3,18,2,0
654,25,54.39,6,79,0,1
655,58,46.39,4,9,1,0
656,23,54.35,9,2,0,0
657,34,83.35,6,7,0,0
658,43,31.77,4,0,0,0
659,6,66.3,7,16,2,0
660,28,76.63,1,1,0,0
661,46,49.91,4,7,0,0
662,44,48.8,4,44,1,0
663,49,37.1,4,32,0,0
664,28,43.3,5,62,0,1
665,14,74.66,2,11,0,0
666,30,42.9,4,10,0,0
667,18,37.21,5,65,0,0
668,40,59.41,8,12,2,0
669,55,42.14,5,13,0,0
670,18,54.92,5,5,1,0
671,55,44.58,5,2,0,0
672,9,54.69,4,10,0,0
673,45,65.48,6,3,0,0
674,52,55.4,4,0,0,0
675,42,102.4,4,3,0,0
676,35,93.74,2,21,2,1
677,58,34.47,2,23,1,0
678,20,45.55,7,62,1,0
679,35,39.12,3,53,0,0
680,54,121.01,4,19,0,0
681,13,49.81,8,21,0,0
682,24,44.93,3,8,0,0
683,35,95.05,6,4,0,0
684,54,46.87,5,38,2,1
685,54,160.88,3,10,0,0
686,38,74.28,7,69,0,0
687,60,75.36,6,2,0,0
688,36,22.66,2,1,1,0
689,51,34.69,6,14,0,0
690,58,93.14,4,34,1,0
691,49,50.29,3,50,1,0
692,47,55.93,4,22,0,0
693,44,62.21,4,36,0,0
694,21,59.96,7,156,1,1
695,13,69.26,4,4,0,0
696,13,73.79,9,3,0,0
697,31,51.71,4,23,0,0
698,1,40.21,8,11,0,0
699,55,68.58,2,27,0,0
700,25,49.62,7,25,0,0
701,55,53.13,5,9,0,0
702,12,67.09,9,6,1,0
703,58,82.02,3,12,2,1
704,26,73.81,7,3,0,0
705,18,103.65,3,1,0,0
706,17,54.5,6,34,0,0
707,52,41.34,5,33,2,0
708,3,66.98,1,34,0,0
709,3,50.2,4,13,0,0
710,45,42.43,3,6,0,0
711,39,69.75,3,8,2,0
712,21,30.0,2,4,0,0
713,23,54.96,4,38,0,0
714,41,43.74,6,8,1,0
715,58,38.54,4,15,0,0
716,59,59.25,7,3,0,0
717,14,45.34,6,14,1,0
718,28,45.44,5,8,0,1
719,21,38.11,4,36,3,1
720,55,40.48,6,19,2,0
721,5,51.46,5,3,0,0
722,60,71.64,7,82,0,0
723,4,73.58,3,12,2,1
724,15,26.77,5,45,0,0
725,15,34.09,6,14,0,0
726,60,58.43,2,14,0,0
727,46,49.17,3,3,0,0
728,25,84.04,6,22,1,0
729,8,71.35,6,4,1,0
730,24,34.22,2,9,0,0
731,33,15.4,1,43,1,0
732,57,57.49,6,33,0,0
733,47,51.91,3,5,0,0
734,55,47.61,2,11,0,0
735,18,36.37,3,18,0,0
736,15,60.79,5,58,0,0
737,37,68.17,3,1,1,0
738,19,59.88,6,55,0,0
739,34,43.77,5,9,0,0
740,37,49.65,3,6,1,0
741,51,34.49,7,4,1,0
742,36,34.88,6,27,2,0
743,8,86.06,4,2,1,0
744,22,61.53,5,15,0,0
745,6,55.25,4,4,1,0
746,53,47.43,6,23,1,0
747,55,72.8,7,3,0,0
748,8,111.92,4,11,1,0
749,55,45.31,7,18,0,0
750,23,63.63,6,5,0,0
751,10,33.13,6,1,0,0
752,19,66.74,4,13,1,0
753,15,69.31,6,42,1,1
754,49,42.82,4,6,2,0
755,24,56.53,3,4,0,0
756,5,58.66,4,2,1,0
757,43,93.29,7,14,0,0
758,35,67.75,10,22,1,0
759,44,81.88,4,9,0,0
760,48,66.9,4,28,0,0
761,51,47.81,3,8,1,0
762,31,23.8,4,20,1,0
763,2,91.96,3,23,0,0
764,21,54.55,7,23,1,0
765,7,46.38,2,5,0,0
766,3,98.43,4,32,0,0
767,33,107.41,5,24,0,0
768,29,65.5,5,49,0,0
769,46,73.75,6,15,1,0
770,23,19.23,7,12,0,0
771,37,87.95,4,92,0,1
772,36,32.34,3,2,1,0
773,48,46.65,5,6,0,0
774,33,34.02,1,23,1,0
775,44,45.93,4,14,1,0
776,22,78.63,3,35,0,0
777,19,128.06,4,16,0,0
778,40,31.09,6,2,0,0
779,33,76.87,7,1,0,0
780,23,58.87,4,35,0,0
781,56,80.06,4,53,0,1
782,20,40.78,7,13,0,0
783,53,73.68,4,9,1,0
784,12,42.53,6,17,2,0
785,58,92.0,4,3,0,0
786,13,65.11,5,1,0,0
787,44,125.77,5,17,0,0
788,22,36.98,1,31,0,0
789,17,71.86,6,3,0,0
790,60,39.66,2,78,0,0
791,25,70.99,7,0,2,0
792,1,68.49,5,6,0,0
793,42,58.1,6,81,0,0
794,33,57.54,6,35,0,0
795,22,113.97,8,26,0,0
796,10,63.71,6,4,2,0
797,2,66.66,4,47,0,0
798,44,51.66,6,5,1,0
799,13,79.28,6,2,0,0
800,27,56.83,2,18,0,0
801,17,95.92,6,10,0,0
802,4,55.25,6,19,0,0
803,50,58.29,4,18,2,0
804,42,60.89,2,28,1,0
805,9,30.48,4,10,1,0
806,52,27.25,4,2,2,0
807,49,74.22,8,25,0,0
808,9,39.45,7,6,1,0
809,20,49.7,6,62,0,0
810,3,53.42,5,10,0,0
811,13,55.97,5,3,0,0
812,38,32.67,4,30,1,1
813,25,32.95,5,13,0,1
814,26,49.11,5,4,2,0
815,48,49.82,2,35,1,1
816,35,74.31,2,14,1,0
817,47,51.08,3,25,0,0
818,51,70.67,6,4,0,0
819,35,46.45,5,25,0,0
820,41,91.17,3,9,1,0
821,11,80.93,3,3,0,0
822,28,57.47,5,1,0,0
823,48,29.75,2,61,0,0
824,44,35.06,5,12,1,0
825,44,65.65,2,41,1,0
826,29,68.14,1,13,0,0
827,29,28.83,2,7,1,0
828,40,65.61,5,2,0,0
829,11,67.95,8,73,0,0
830,59,165.5,5,2,0,0
831,10,56.35,4,18,1,0
832,42,75.49,6,10,1,0
833,6,30.04,2,28,1,0
834,54,48.63,3,2,0,0
835,33,42.16,5,4,0,0
836,45,78.83,4,4,3,0
837,17,62.08,3,24,1,0
838,57,41.05,5,7,0,0
839,38,39.38,5,9,0,0
840,43,71.24,6,0,0,0
841,29,98.64,5,25,1,0
842,16,101.3,4,20,1,0
843,31,43.32,8,9,0,0
844,1,56.0,7,60,0,1
845,48,82.78,6,2,2,0
846,51,35.34,7,4,2,0
847,57,83.29,3,5,0,0
848,9,40.12,3,55,0,1
849,11,39.89,4,14,0,0
850,58,38.23,6,13,0,0
851,55,58.3,3,6,0,0
852,17,50.77,3,19,0,0
853,1,65.28,6,8,0,0
854,11,56.66,3,22,0,0
855,39,70.17,1,17,0,0
856,8,58.66,5,44,0,0
857,51,39.21,4,21,0,0
858,26,21.56,8,54,0,0
859,56,43.06,4,6,0,0
860,51,81.37,7,22,1,0
861,2,49.17,5,22,0,0
862,29,94.78,6,15,1,0
863,22,56.9,2,15,2,0
864,14,72.34,6,38,0,0
865,47,78.79,6,39,0,0
866,23,49.64,6,5,0,0
